用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
普法尔茨伯爵,男,适合生活如意的人看,,1级评论,6,2560,2025-03-25 22:27:50
A贝斯私教凉老师,保密,适合爱猫区的看[doge],普法尔茨伯爵,2级评论,6,151,2025-03-26 11:18:50
红魔村大魔法师慧慧,保密,回复 @A贝斯私教凉老师 :爱猫区的自己又不养猫，就喜欢☁️养猫这种又能满足自身情绪又不用负责任的感觉，看到略🐱区还能站在道德制高点上指指点点，一谈到流浪猫危害就光速切割😋,普法尔茨伯爵,2级评论,6,39,2025-04-12 23:48:24
-可爱动物保护法-,男,这些视频里从来没看见过歇罗猫，看样子养猫只能养这个了，养其它猫我怕我一天爱一个,,1级评论,5,1585,2025-03-25 22:23:05
佛兰愛弗兰,女,泰王严选猫，哈气的直接让大象爱了,-可爱动物保护法-,2级评论,6,901,2025-03-26 10:05:14
sans与番茄酱的那些事,保密,暹罗猫：不要小瞧我和训猫师的求生欲啊[胆大党_微笑]不老实的都被训猫师先一步爱死了[doge],-可爱动物保护法-,2级评论,6,205,2025-03-26 11:26:04
我叫卖鱼焜,男,"天呀，我真的不敢想象。。
工作了一天累的不行
回家还要收拾。。直接哭晕",,1级评论,6,585,2025-03-27 13:47:08
芝士藏雪豹,保密,没事的这样你很快就有方式放松了[doge_金箍],我叫卖鱼焜,2级评论,6,30,2025-04-20 13:28:23
直升机之子科比,保密,我都是笼养，我就怕我出去了，它给我整点啥事出来，回家了才放它出笼子,我叫卖鱼焜,2级评论,5,55,2025-04-19 08:05:36
Ever星逝,男,情绪价值这一块儿,,1级评论,6,372,2025-03-25 21:43:34
账号已注销,保密,愤怒也是情绪[doge],Ever星逝,2级评论,0,34,2025-04-22 11:41:56
EXILE放逐之歌,保密,兄啊，这沟槽的情绪价值不要也罢啊[辣眼睛],Ever星逝,2级评论,4,3,2025-04-24 20:29:25
玲奈紫,保密,家里真有这玩意范建能活到第二天是我的问题,,1级评论,6,255,2025-03-27 11:36:46
武装英专生,男,让他多活几天难受难受[吃瓜],玲奈紫,2级评论,5,22,2025-04-14 15:47:11
永远的亚梓莎,保密,这东西要敢在我家抓我/我家人的话，整只进来的我让它一块一块地出去,玲奈紫,2级评论,5,26,2025-04-17 04:56:37
ttttttttttim,男,谢谢，打消了我百分之八十想养猫的想法[灵魂出窍][灵魂出窍],,1级评论,6,196,2025-03-26 22:22:53
鞍華,男,养猫也不是一定要放养，买个笼子还是很好的,ttttttttttim,2级评论,6,40,2025-03-31 01:32:10
伟大的东方人,男,怎么还剩下20呢,ttttttttttim,2级评论,5,32,2025-04-05 02:29:14
现在是死狗哇,男,不如养我[保卫萝卜_哇],,1级评论,3,128,2025-04-12 10:21:31
虚空52012138,男,太能吃了,现在是死狗哇,2级评论,6,56,2025-04-12 22:14:43
派大星很烦1124,男,回复 @虚空52012138 :哈哈哈🤣,现在是死狗哇,2级评论,5,7,2025-04-13 01:41:48
节操动物,男,略猫区故意放视频出来激怒我去给略猫视频大赏的,,1级评论,6,179,2025-03-26 13:29:06
爱玩具的阿逸,男,我操略毛驱怎么这么坏,节操动物,2级评论,6,17,2025-03-27 14:09:10
砂糖与盐甜咸之恋,女,养猫就养白猫 贼乖 我垃圾桶捡到的,,1级评论,6,96,2025-04-11 10:29:16
御坂妹妹19998,女,流浪过的都会讨好人[笑哭],砂糖与盐甜咸之恋,2级评论,6,33,2025-04-11 18:11:43
我爱玩原神_,保密,回复 @御坂妹妹19998 :并非都会,砂糖与盐甜咸之恋,2级评论,4,33,2025-04-19 11:46:51
鬼方カヨコのお猫,男,我觉得猫什么也没做错😡，这只是一个正常生物的玩闹罢了，没必要上纲上线，反正不是我养，他们会接着养的，我负责看😋,,1级评论,6,96,2025-04-12 16:39:11
被囚禁的Van样,男,本来想领养的[笑哭],鬼方カヨコのお猫,2级评论,6,2,2025-04-16 22:05:17
徐伦joyne,保密,受不了这么蠢的动物,,1级评论,3,93,2025-04-15 10:41:54
砂金代抽业务,保密,"给大家说一个解气的
我小时候的一个晚上，我家突然进来一只猫，然后怎么赶也不出去，我和我妈妈都很生气，我拿各种各样又长又尖的东西去戳它，也不出来
然后我妈妈拿着拖把的另一端一只用力按它按的不能动，一个劲的叫才不敢进来",,1级评论,5,163,2025-03-30 23:50:50
阴中仙子三木木,保密,哈基姆大突刺,砂金代抽业务,2级评论,2,7,2025-04-12 12:56:53
砂金代抽业务,保密,回复 @妈妈酱再睡一会 :当时我都红温了，一个劲的捣[笑哭][笑哭]那个丝猫就是不跑，还对我哈气，然后我就捅那玩意的嘴，不过并没有弄伤，毕竟弄脏家里就不好了[妙啊][妙啊]之后把那个玩意弄了好一会才跑了,砂金代抽业务,2级评论,5,17,2025-04-13 00:35:58
